Feature,MLP_Importance,Rank_MLP,catboost_Importance,Rank_catboost,lightgbm_Importance,Rank_lightgbm,xgboost_Importance,Rank_xgboost,Focus_Type
tenure_log,65.66374064327368,1,0.25391169768907995,1,0.04101228573905681,5,0.0,36,both_high
Contract_numeric,50.45169008395321,2,0.14236999989392837,3,0.24196146591987833,2,0.19460118543873356,3,both_high
Contract_Two year_encoded,49.94970363272791,3,0.0,27,0.011228593625793936,10,0.0,33,both_high
MultipleLines_Yes_encoded,48.35367813270055,4,0.0,27,0.0060988879688191324,18,0.0014482376183036054,20,MLP_high
StreamingMovies_Yes_encoded,45.90235381530335,5,0.0,27,0.00681832489527797,15,0.0,31,MLP_high
InternetService_Fiber optic_encoded,44.717137439861155,6,0.0,27,0.08974821686892025,3,0.23043453173271738,2,both_high
DeviceProtection_Yes_encoded,44.05084611688078,7,0.0,27,0.0008641477686634015,28,0.002735840895931642,16,MLP_high
OnlineSecurity_Yes_encoded,43.1601524006111,8,0.0,27,0.006127284991903339,17,0.002111298820131948,17,MLP_high
PaperlessBilling_Yes_encoded,41.77209401949018,9,0.0,27,0.01097659259134225,11,0.0,34,MLP_high
StreamingTV_Yes_encoded,41.52195604688319,10,0.0,27,0.008384575460595383,13,0.0,29,MLP_high
TechSupport_Yes_encoded,41.47298839456744,11,0.0,27,0.0019662924053149393,20,0.0011727117130818766,23,both_low
Dependents_Yes_encoded,41.349931237658254,12,0.0,27,0.005749742940426747,19,0.0049342127799129835,10,tree_high
gender_Male_encoded,41.27418915144569,13,0.0,27,0.0012376060506549009,24,0.0007972349030416654,27,both_low
TotalCharges,40.32584761568258,14,0.05010130086006535,5,0.01646616500535191,8,0.002012078063521949,18,tree_high
OnlineBackup_Yes_encoded,40.075527477075134,15,0.0,27,0.001047782964196552,26,0.008302382924004221,8,tree_high
tenure,39.83802597728368,16,0.21254797887265853,2,0.05605149225047702,4,0.015676358485466564,5,tree_high
tenure_MonthlyCharges_mean,39.28139309988063,17,0.03458969558772115,7,0.009694834513379873,12,0.0016052754157908043,19,tree_high
Contract_One year_encoded,38.88241749074456,18,0.0,27,0.006502562742284515,16,0.0,32,both_low
PaymentMethod_Electronic check_encoded,37.39228394915155,19,0.0,27,0.013738064917806724,9,0.001132719875645618,24,tree_high
PaymentMethod_Mailed check_encoded,36.21506612943329,20,0.0,27,0.000660951836735772,30,0.004150967913558687,14,both_low
PaymentMethod_Credit card (automatic)_encoded,35.51769359885655,21,0.0,27,0.0008850339684744789,27,0.0045492056195959845,11,both_low
high_risk_combo,31.838314133875308,22,0.12219327110304903,4,0.38935588198619997,1,0.45950800110122875,1,tree_high
MonthlyCharges_x_tenure_FE,31.272906144759883,23,0.00066094863577297,24,0.01693569531741037,7,0.0,35,tree_high
MonthlyCharges,30.073442858930626,24,0.050075437336660124,6,0.040529855233258805,6,0.0035190265727685654,15,tree_high
SeniorCitizen,29.53349995298521,25,0.010008981198563726,11,0.007308358234772402,14,0.011374556847563172,6,tree_high
SeniorCitizen_tenure_FE,25.130202000736183,26,0.009506515796651602,13,0.0018013049696092784,21,0.0012115842314036225,22,both_low
MultipleLines_No phone service_encoded,23.78513903642856,27,0.0,27,0.0011074836635611416,25,0.004487767014412589,12,both_low
PhoneService_Yes_encoded,23.12637272220928,28,0.0,27,0.0012952878046020868,23,0.00549128085867886,9,tree_high
DeviceProtection_No internet service_encoded,22.996977568764784,29,0.0,27,0.00035951264242404114,34,0.0009675465140118227,26,both_low
OnlineBackup_No internet service_encoded,21.753623990173764,30,0.0,27,0.0001465181789335636,36,0.009057285325873953,7,tree_high
TechSupport_No internet service_encoded,21.457189943585078,31,0.0,27,0.0004664767488849135,32,0.004268275048952349,13,both_low
OnlineSecurity_No internet service_encoded,21.217731176106547,32,0.0,27,0.0003728731886778763,33,0.0012458089650069614,21,both_low
InternetService_No_encoded,21.17139905789432,33,0.0,27,0.0008168742605480742,29,0.0010003517062861435,25,both_low
has_internet,20.711562416776054,34,3.329766693899452e-05,26,0.0006313796925150374,31,0.022204273614374725,4,tree_high
StreamingMovies_No internet service_encoded,20.586953783253172,35,0.0,27,0.0014829499638684383,22,0.0,30,both_low
StreamingTV_No internet service_encoded,20.321069408696545,36,0.0,27,0.00016864268937976878,35,0.0,28,both_low
MultipleLines,0.0,37,0.022790967711853134,9,0.0,37,0.0,37,both_low
OnlineBackup,0.0,37,0.0024364117807709573,19,0.0,37,0.0,37,both_low
InternetService,0.0,37,0.002521916994459264,18,0.0,37,0.0,37,both_low
Dependents,0.0,37,0.009915190272922689,12,0.0,37,0.0,37,both_low
Contract,0.0,37,0.0076124303814203,15,0.0,37,0.0,37,both_low
DeviceProtection,0.0,37,0.002193249299104834,20,0.0,37,0.0,37,both_low
PaperlessBilling,0.0,37,0.013914766012242804,10,0.0,37,0.0,37,both_low
StreamingMovies,0.0,37,0.0018517361200766276,21,0.0,37,0.0,37,both_low
PhoneService,0.0,37,0.0006212003744675253,25,0.0,37,0.0,37,both_low
Partner,0.0,37,0.0025474666214899792,17,0.0,37,0.0,37,both_low
PaymentMethod,0.0,37,0.0029763673116015056,16,0.0,37,0.0,37,both_low
OnlineSecurity,0.0,37,0.03290180636256583,8,0.0,37,0.0,37,both_low
StreamingTV,0.0,37,0.001475000331529817,22,0.0,37,0.0,37,both_low
TechSupport,0.0,37,0.009237103392275297,14,0.0,37,0.0,37,both_low
gender,0.0,37,0.001005262392129686,23,0.0,37,0.0,37,both_low
